date_utc,Open_price,High_price,Low_price,Close_price,Volume,Quote_volume,Nb_trades,Taker_buy_base_volume,Taker_buy_quote_volume,evolution_prct,lundi,mardi,mercredi,jeudi,vendredi,samedi,dimanche,janvier,fevrier,mars,avril,mai,juin,juillet,aout,septembre,octobre,novembre,decembre,RSI,EMA_14,MACD,MACD_Signal
2017-10-18,5595.0,5596.0,5037.95,5512.06,2317.804373,12456909.97604373,14824,1039.622475,5582555.96464678,-1.4823949955317217,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,67.48279196844715,5208.841305108697,414.6853743217416,330.57024399230414
2017-10-19,5513.0,5710.0,5490.26,5683.9,1881.722107,10609368.77338359,11553,866.172234,4889254.26776489,3.1175277482465624,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,70.20088131485625,5272.1824644275375,415.5981367779368,347.57582254943065
2017-10-20,5683.31,6110.0,5600.0,6010.01,1972.97722,11486552.1888066,11656,833.037457,4827682.43818362,5.737433804254133,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,74.54881594791476,5370.559469170533,437.591575890021,365.57897321754876
2017-10-21,6013.72,6171.0,5850.03,6024.97,1664.307693,10114821.44026351,10182,796.022575,4842552.09005084,0.24891805504483333,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,74.7309622884609,5457.814206614462,451.02949455743783,382.6690774855266
2017-10-22,6003.27,6060.0,5720.03,5950.02,1362.092216,8035415.37335629,8846,559.072342,3298113.25431534,-1.2439895966286918,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,71.95263201721343,5523.441645732534,450.4389237748446,396.2230467433902
2017-10-23,5975.0,6080.0,5621.03,5915.93,1812.557715,10607190.98072695,10736,733.791079,4292971.67402233,-0.5729392506243713,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,70.66576867101413,5575.77342630153,442.12358856027913,405.40315510676805
2017-10-24,5909.47,5925.0,5450.0,5477.03,2580.418767,14564495.85056032,13075,1128.826117,6369508.22114772,-7.418951880769386,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,56.624317618838326,5562.607636127993,395.5583135225388,403.4341867899222
2017-10-25,5506.92,5704.96,5286.98,5689.99,2282.813205,12544847.89154201,12026,1102.091326,6072831.20164732,3.8882386987107997,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,60.70435775106132,5579.5919513109275,371.55602323915264,397.0585540797683
2017-10-26,5670.1,5939.99,5650.0,5861.77,1972.965882,11417126.63602561,11429,779.739997,4524676.60186949,3.0189859736133196,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,63.67267791912985,5617.215691136138,362.2198012423214,390.09080351227897
2017-10-27,5861.77,5980.0,5649.24,5768.83,1403.706416,8167069.73635031,8305,624.087409,3639525.74476665,-1.5855279207474982,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,60.988394874198974,5637.430932317986,343.36321932181545,380.74528667418633
2017-10-28,5768.79,5850.02,5630.03,5719.64,1276.754412,7308076.01911184,8556,522.437128,2992463.28829385,-0.8526858999138409,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,59.557298052590944,5648.392141342254,320.7525842636205,368.74674619207315
2017-10-29,5709.98,6189.88,5648.01,6169.98,1804.778173,10620967.62459168,10651,954.170196,5607341.71306722,7.873572462602518,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,67.15581288600478,5717.937189163286,335.3069575455056,362.0587884627597
2017-10-30,6133.01,6248.68,6030.0,6120.5,1473.687043,9030219.28673499,9027,568.13297,3484470.96871416,-0.8019474941571847,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,65.69532858563585,5771.612230608182,338.9416721390562,357.43536519801904
2017-10-31,6120.52,6498.01,6100.0,6463.0,1511.774925,9487640.8400991,12503,666.763568,4189144.86604943,5.595948043460508,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,70.48088256684936,5863.797266527091,365.2487371666066,358.9980395917366
2017-11-01,6463.0,6774.67,6338.02,6753.98,1675.615188,10951171.07254041,16775,681.762424,4456444.95893702,4.502243540151629,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,73.82207454052805,5982.488297656812,404.9093865509658,368.18030898358245
2017-11-02,6753.98,7300.0,6685.1,7019.98,2503.610803,17369001.33091877,20222,1152.043042,8002005.80575711,3.9384185324801146,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,76.44662206885853,6120.820524635905,452.5875661364207,385.0617604141501
2017-11-03,7010.31,7346.34,6923.0,7115.04,1891.497592,13614451.74654126,15375,790.186344,5689002.21482195,1.3541349120652857,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,77.32166864211302,6253.3831213511185,492.3677060835853,406.5229495480372
2017-11-04,7115.02,7480.99,6901.0,7357.09,1399.191767,10064538.39659038,13395,638.387268,4597312.95311455,3.401948548426992,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,79.41842747776508,6400.544038504303,537.2322863147419,432.6648169013782
2017-11-05,7357.27,7590.25,7279.02,7345.01,1207.83233,9000403.86573288,11090,540.675195,4027338.87761942,-0.1641953544132213,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,79.02573511022334,6526.472833370396,565.2966464808642,459.19118281727543
2017-11-06,7345.1,7401.0,6906.0,6960.12,1763.019261,12673524.6216398,13525,730.003787,5258426.96569148,-5.240156242129013,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,67.5628595912844,6584.292455587676,550.1387902408651,477.38070430199343
2017-11-07,6981.72,7198.49,6901.0,7064.04,1440.259494,10173272.33780804,13132,591.187992,4181187.39303234,1.4930777055568,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,68.87558364144863,6648.2587948426535,540.2835035543585,489.96126415246647
2017-11-08,7070.0,7770.02,6651.0,7303.0,2822.298802,20491286.19840822,24381,1291.344472,9394534.42380506,3.3827668019999813,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,71.71065816657101,6735.557622196967,545.4673843150249,501.0624881849782
2017-11-09,7303.01,7392.0,7015.0,7079.99,1913.398308,13798534.34721742,13818,724.154878,5221300.62862515,-3.0536765712720793,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,65.69631651830178,6781.481939237371,525.5227053176541,505.95453161151335
2017-11-10,7079.0,7279.91,6255.01,6506.98,3254.704105,22083345.18396158,18889,1565.261439,10594456.21115611,-8.093373013238725,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,53.32171917152421,6744.881680672388,458.1974701451527,496.40311931824124
2017-11-11,6503.0,6797.98,6100.0,6245.05,2754.156861,17681445.46474999,17840,1127.476148,7260382.61767693,-4.02536967994368,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,48.7970069171719,6678.237456582737,379.33345432458736,472.9891863195105
2017-11-12,6245.05,6630.0,5325.01,5811.03,4968.483069,29711508.60084671,31069,2267.410744,13607604.41635319,-6.949824260814575,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,42.379686228861225,6562.609795705039,278.5998413104744,434.1113173177033
2017-11-13,5839.94,6697.47,5699.99,6465.99,2621.243039,16498136.09913936,16165,1299.996919,8190123.54546063,11.270979499331446,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,52.52595790697986,6549.7271562777005,248.7500893329161,397.0390717207459
2017-11-14,6465.99,6684.98,6311.07,6574.99,1254.292531,8168729.97122799,10476,612.136202,3991112.7307127,1.6857434051088749,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,53.97836809417841,6553.095535440674,231.2239293581015,363.87604324821706
2017-11-15,6575.99,7298.0,6575.99,7240.06,1779.605845,12446186.45092821,10313,958.59199,6705958.0325874,10.115148464104129,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,61.6814968217938,6644.690797381918,267.9115940005331,344.6831533986803
2017-11-16,7240.14,7940.0,7076.0,7864.5,2331.95675,17499577.25815967,14961,1196.410717,8973214.5702364,8.624790402289474,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,67.22796571697569,6807.332024397663,343.41524471468347,344.42957166188097
2017-11-17,7876.98,7989.0,7451.0,7699.19,3982.395925,31024092.61951179,22012,1910.208237,14893068.96849563,-2.101977239493935,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,64.56362921549588,6926.246421144641,385.46984006377807,352.63762534226043
2017-11-18,7680.01,7819.99,7422.0,7761.94,3954.266477,30334498.31525712,18383,1891.340324,14512569.88845333,0.8150208008894433,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,65.12857668322198,7037.672231658689,419.03147641917985,365.91639555764436
2017-11-19,7761.94,8123.15,7650.33,8038.0,3867.340444,30322635.7689457,14897,2097.613346,16448877.84771707,3.5565850805340027,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,67.57752400525695,7171.049267437531,462.5727986187767,385.24767616987083
2017-11-20,8057.11,8319.99,7954.0,8212.0,3886.634348,31567135.38731295,20101,1816.366339,14741452.72913412,2.164717591440657,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,69.05276207513424,7309.84269844586,505.29522713847564,409.2571863635918
2017-11-21,8212.49,8400.0,7801.0,8119.51,4544.474016,37074997.58090905,20798,2222.291215,18131894.11366924,-1.1262786166585492,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,67.29984955977713,7417.798338653079,525.6307454699954,432.5318981848726
2017-11-22,8091.09,8322.68,8091.09,8205.92,3545.00571,29124078.47217724,14752,1823.860374,14992767.17647145,1.0642267821580287,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,68.11423488369263,7522.881226832669,542.4661430748038,454.51874716285886
2017-11-23,8233.03,8260.0,8000.0,8019.99,4093.952687,33400702.99957629,16625,2163.755131,17665030.24869222,-2.265803224988794,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,64.39784175830336,7589.162396588314,534.6422962629031,470.5434569828677
2017-11-24,8019.97,8369.0,7850.0,8138.0,4411.789112,35840264.45804051,19754,2166.425275,17613353.73937526,1.4714482187633715,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,65.67784860454157,7662.340743709872,531.8336151850563,482.80148862330543
