date_utc,Open_price,High_price,Low_price,Close_price,Volume,Quote_volume,Nb_trades,Taker_buy_base_volume,Taker_buy_quote_volume,evolution_prct,0-6h,6-12h,12-18h,18-23h,lundi,mardi,mercredi,jeudi,vendredi,samedi,dimanche,janvier,fevrier,mars,avril,mai,juin,juillet,aout,septembre,octobre,novembre,decembre
2023-09-18 06:00:00,26647.45,27240.0,26622.77,27196.98,12659.48973,341101054.809836,267902,6702.79322,180628182.0477577,2.0622235898744457,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2023-09-18 12:00:00,27196.98,27409.0,26669.94,26760.49,17286.0503,469360440.6144518,327688,8431.19424,229032923.77348927,-1.6049208404756654,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2023-09-18 18:00:00,26760.48,26943.83,26631.0,26762.51,6612.80808,177068746.4381091,171128,3253.03108,87115540.3486985,0.007548441751237256,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2023-09-19 00:00:00,26762.5,26860.0,26667.79,26796.26,4124.10495,110382272.4982707,131540,2043.52879,54688975.4589756,0.12610924760045883,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2023-09-19 06:00:00,26796.26,27466.0,26750.88,27237.56,11056.42122,299824931.3720836,243673,5949.6695,161263425.8481914,1.6468716156657903,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2023-09-19 12:00:00,27237.57,27483.57,26881.37,27133.88,15761.43054,428906057.8387708,360925,7560.33525,205747324.20612368,-0.38065083656538823,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2023-09-19 18:00:00,27133.88,27222.81,26990.01,27210.26,5248.56516,142425993.8504949,161938,2297.62204,62361582.6116423,0.2814931001390075,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2023-09-20 00:00:00,27210.25,27388.63,27007.0,27025.0,6476.71693,176003447.2754326,174943,3188.54688,86668298.9958423,-0.680846122014267,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2023-09-20 06:00:00,27024.99,27197.66,26936.79,27098.08,8289.03034,224319116.0036302,202074,4323.60902,117018406.2028942,0.2704162812211086,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2023-09-20 12:00:00,27098.07,27277.36,26997.94,27195.12,8599.90805,233475789.06523567,222094,4226.22515,114740152.0878193,0.3581065521985227,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2023-09-20 18:00:00,27195.13,27300.0,26800.0,27125.0,10841.56335,293407723.6183288,268177,5245.04981,141975488.8842276,-0.2578403772441451,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2023-09-21 00:00:00,27125.01,27159.6,26936.66,27071.02,5009.73002,135434765.3690333,156447,2400.53843,64896441.1146883,-0.19900460829492816,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2023-09-21 06:00:00,27071.03,27073.09,26618.9,26730.78,9849.49056,264206682.68245432,251800,4821.63635,129332007.4224059,-1.2568421876974045,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2023-09-21 12:00:00,26730.77,26776.98,26377.7,26651.55,15548.75337,412945304.89534384,291410,7826.67581,207857713.7432642,-0.2963998805870949,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2023-09-21 18:00:00,26651.56,26687.35,26497.94,26568.08,4068.85267,108181390.4044813,123759,1829.93143,48652201.5703401,-0.3131900396036946,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2023-09-22 00:00:00,26568.08,26670.15,26468.77,26666.23,4598.03674,122342965.9239081,147354,2165.66095,57624029.2987831,0.3694282763376133,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2023-09-22 06:00:00,26666.23,26743.38,26573.93,26640.26,4951.83591,131964171.3408898,146974,2350.03059,62626271.3683911,-0.0973890947464362,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2023-09-22 12:00:00,26640.26,26698.29,26531.01,26576.22,5412.18524,144061376.6185783,155843,2531.91456,67396833.1112206,-0.24038804426081972,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2023-09-22 18:00:00,26576.22,26635.73,26488.0,26580.14,3236.17131,85963105.0651557,116978,1436.49069,38158558.9451745,0.014750028408849758,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2023-09-23 00:00:00,26580.14,26614.98,26509.0,26542.46,2319.32128,61608004.1862577,105628,1019.42159,27078484.2194103,-0.14175997568108833,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
2023-09-23 06:00:00,26542.46,26594.78,26541.67,26575.21,2454.88942,65227479.5990881,99826,1126.66725,29934349.4696663,0.1233872067623043,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
2023-09-23 12:00:00,26575.21,26610.0,26546.2,26598.31,2900.5449,77075684.217238,124344,1480.32342,39336197.1798526,0.08692311368376782,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
2023-09-23 18:00:00,26598.31,26632.81,26558.07,26575.96,1765.947,46962789.38609,91919,760.78504,20232183.2612038,-0.08402789500536745,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
2023-09-24 00:00:00,26575.97,26590.01,26550.0,26557.99,1715.07268,45571856.1729097,80192,637.87871,16948992.3355135,-0.06761750092940666,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
2023-09-24 06:00:00,26557.99,26611.8,26549.31,26596.71,2156.88103,57325371.6608669,89196,1217.11549,32348519.1016523,0.1457941658988382,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
